brand_name,product_name,product_id,beauty_point_earned,price_range,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist,price_clean,active_year,active_month,brand_name_encoded,default_category_encoded,price_clean_scaled,total_reviews_scaled,total_repurchase_yes_count_scaled,beauty_point_earned_scaled,brand_name_encoded_scaled,default_category_encoded_scaled,Cluster,Segment_Name
796_3ce,[ 3CE x TOILETPAPER]   VELVET LIP TINT,98435,60,Rp 317.000,2022-12-11 14:58:32.986000+00:00,Lip Tint,Makeup; Lips; Lip Tint,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,4,8,0,0,8,388,317000.0,2022,12,294,127,0.4965059776318581,-0.2279283796052028,-0.2139810169743241,0.4942731038640849,1.3808973805868072,0.4991950252982374,0,Reliable Daily Drivers
796_3ce,Plumping Lips,107425,40,Rp 229.000,2023-11-08 10:56:38.958000+00:00,Lip Tint,Makeup; Lips; Lip Tint,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,0.0,0,0,0,0,0,4,229000.0,2023,11,294,127,0.0987503722501945,-0.2326231515318768,-0.2267680750016787,0.0599997842108628,1.3808973805868072,0.4991950252982374,1,Silent Newcomers
796_3ce,[ 3CE x TOILETPAPER]   FACE BLUSH,98434,70,Rp 352.000,2022-12-11 14:57:54.657000+00:00,Blush,Makeup; Face; Blush,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.975,5,8,0,0,8,27,352000.0,2022,12,294,14,0.6547042297722925,-0.2267546866235343,-0.2139810169743241,0.711409763690696,1.3808973805868072,-1.5467813822875678,0,Reliable Daily Drivers
796_3ce,[ 3CE x TOILETPAPER]   MULTI EYE COLOR PALETTE,98432,150,Rp 775.000,2023-05-25 03:07:45.473000+00:00,Eyeshadow,Makeup; Eyes; Eyeshadow,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,1,1,0,0,1,327,775000.0,2023,5,294,70,2.566643105640971,-0.2314494585502083,-0.2251696927482594,2.4485030423035843,1.3808973805868072,-0.5328461714485847,3,High-End Luxury
796_3ce,SUPER SLIM PEN EYE LINER,98370,40,Rp 229.000,2022-09-30 17:17:21.273000+00:00,Eyeliner,Makeup; Eyes; Eyeliner,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.971428571428572,4,7,0,0,7,144,229000.0,2022,9,294,69,0.0987503722501945,-0.2279283796052028,-0.2155793992277434,0.0599997842108628,1.3808973805868072,-0.5509521573564237,0,Reliable Daily Drivers
751_abib,Heartleaf Essence Calming Pump,91887,70,Rp 380.000,2022-04-27 16:49:33.546000+00:00,Essence,Skincare; Treatment; Essence,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.775,8,8,4,0,6,328,380000.0,2022,4,282,58,0.78126283148464,-0.2232336076785288,-0.2171777814811627,0.711409763690696,1.249062161312287,-0.7501180023426525,0,Reliable Daily Drivers
751_abib,Quick Sunstick Protection Bar,91207,80,Rp 400.000,2023-01-03 10:31:35.314000+00:00,Sunscreen,Skincare; Sun Care; Sunscreen,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.666666666666666,17,17,2,0,16,786,400000.0,2023,1,282,178,0.8716618327077454,-0.2126703708435124,-0.2011939589469694,0.928546423517307,1.249062161312287,1.4226003065980255,0,Reliable Daily Drivers
751_abib,Yuja Essence Vitalizing Pump,91209,70,Rp 380.000,2022-04-27 16:49:33.546000+00:00,Essence,Skincare; Treatment; Essence,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.607142857142858,5,7,2,1,4,303,380000.0,2022,4,282,58,0.78126283148464,-0.2267546866235343,-0.2203745459880014,0.711409763690696,1.249062161312287,-0.7501180023426525,0,Reliable Daily Drivers
751_abib,Heartleaf Spot Pad Calming Touch,91204,70,Rp 360.000,2023-03-20 09:13:53.407000+00:00,Skin Care Set,Skincare; Skin Care Set,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.694444444444445,16,16,4,2,12,614,360000.0,2023,3,282,172,0.6908638302615346,-0.2138440638251809,-0.2075874879606467,0.711409763690696,1.249062161312287,1.3139643911509915,0,Reliable Daily Drivers
751_abib,Heartleaf Calming Toner Skin Booster,91206,60,Rp 80.000 - Rp 330.000,2023-08-07 09:44:48.438000+00:00,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.575,18,18,7,1,12,401,205000.0,2023,8,282,183,-0.0097284292175319,-0.211496677861844,-0.2075874879606467,0.4942731038640849,1.249062161312287,1.5131302361372203,0,Reliable Daily Drivers
